OrderID,Region,Product,Category,Date,Quantity,UnitPrice,TotalPrice,PaymentMethod,TransactionCode
ORD0317,Port Harcourt,bread,bakery,17-07-2023,1,1079,1079, POS ,PHC-2023-SLS
ORD0789, kano , SUGAR , FOOD ,16-04-2023,7,1695,11865,TRANSFER,KAN-2023-SLS
ORD0313, PORT HARCOURT ,BEANS, FOOD ,11-03-2023,13,3559,46267,transfer,PHC-2023-RET
ORD0559,Lagos,milk, dairy ,20-10-2023,10,3265,32650, transfer ,LAG-2023-INV
ORD0293, ABUJA ,beans, Food ,17-12-2023,16,1139,18224, POS ,ABJ-2023-RET
ORD0352,abuja,oil,Food,01-09-2023,18,3971,71478,POS,ABJ-2023-INV
ORD0042,Abuja,sugar,food,03-12-2023,17,509,8653,POS,ABJ-2023-SLS
ORD0794, kano , rice , FOOD ,30-08-2023,11,3423,37653, Cash ,KAN-2023-RET
ORD0619,Port Harcourt,rice, food ,27-03-2023,11,2547,28017,pos,PHC-2023-RET
ORD0865,kano,rice,Food,27-06-2023,15,1044,15660, CASH ,KAN-2023-INV
ORD0423,LAGOS,BREAD, Bakery ,21-07-2023,19,1282,24358,POS,LAG-2023-INV
ORD0208,ABUJA,bread, bakery ,15-09-2023,3,3430,10290,Cash,ABJ-2023-SLS
ORD0780, port harcourt , milk ,Dairy,03-12-2023,3,2357,7071,Transfer,PHC-2023-RET
ORD0760,kano,SUGAR,FOOD,23-01-2023,8,843,6744, TRANSFER ,KAN-2023-INV
ORD0057,Lagos, BEANS , FOOD ,31-03-2023,18,2553,45954, CASH ,LAG-2023-RET
ORD0365,,Rice, food ,21-08-2023,15,4430,66450,POS,ABJ-2023-SLS
ORD0477, port harcourt , BREAD ,BAKERY,08-02-2023,18,4706,84708, Cash ,PHC-2023-SLS
ORD0266,LAGOS, Milk , dairy ,18-12-2023,8,2391,19128, CASH ,LAG-2023-SLS
ORD0160,Lagos, Beans , Food ,03-12-2023,4,2530,10120, CASH ,LAG-2023-SLS
ORD0509,Kano,OIL,food,04-05-2023,6,4022,24132, pos ,KAN-2023-SLS
ORD0153,Abuja, Beans ,food,23-01-2023,9,1262,11358, CASH ,ABJ-2023-RET
ORD0483, abuja ,MILK,DAIRY,14-04-2023,11,1196,13156, CASH ,ABJ-2023-SLS
ORD0602,KANO, sugar ,food,21-01-2023,13,2959,38467,Cash,KAN-2023-RET
ORD0421, Lagos , OIL , FOOD ,23-03-2023,14,4389,61446,pos,LAG-2023-RET
ORD0758, ABUJA ,rice, FOOD ,31-01-2023,5,2708,13540, cash ,ABJ-2023-RET
ORD0173,PORT HARCOURT,rice, Food ,26-07-2023,6,2756,16536, cash ,PHC-2023-RET
ORD0238,LAGOS,RICE, food ,28-04-2023,13,3034,39442, cash ,LAG-2023-RET
ORD0748,port harcourt, Milk , dairy ,11-01-2023,11,3138,34518, transfer ,PHC-2023-RET
ORD0289,ABUJA,milk,dairy,07-03-2023,17,3811,64787, transfer ,ABJ-2023-INV
ORD0465, lagos ,bread, bakery ,07-11-2023,17,846,14382,TRANSFER,LAG-2023-INV
ORD0835, LAGOS , milk , DAIRY ,14-03-2023,11,891,9801, transfer ,LAG-2023-SLS
ORD0706, Kano , RICE ,FOOD,28-12-2023,3,3148,9444, transfer ,KAN-2023-RET
ORD0469, lagos ,Sugar,Food,17-01-2023,14,3213,44982,Cash,LAG-2023-RET
ORD0224, Port Harcourt ,Bread,bakery,20-04-2023,6,1321,7926, POS ,PHC-2023-SLS
ORD0212,port harcourt,OIL, Food ,14-12-2023,12,1600,19200,pos,PHC-2023-SLS
ORD0021, Abuja ,milk,Dairy,06-07-2023,18,2114,38052,TRANSFER,ABJ-2023-INV
ORD0338,port harcourt,  ,Food,14-12-2023,3,4396,13188, transfer ,PHC-2023-INV
ORD0677, ABUJA , MILK , dairy ,15-02-2023,2,2040,4080,Transfer,ABJ-2023-RET
ORD0148, Lagos ,Rice,food,26-12-2023,1,1624,1624,cash,LAG-2023-INV
ORD0298,abuja, oil , FOOD ,25-08-2023,19,3704,70376,pos,ABJ-2023-RET
ORD0388, kano ,OIL,FOOD,15-01-2023,10,4480,44800, CASH ,KAN-2023-INV
ORD0850, Lagos , Sugar ,food,24-01-2023,15,3099,46485,cash,LAG-2023-RET
ORD0543, abuja , oil ,food,23-08-2023,5,4333,21665,Transfer,ABJ-2023-INV
ORD0206,ABUJA,Bread,Bakery,10-12-2023,3,2226,6678, POS ,ABJ-2023-INV
ORD0550, Abuja ,Milk, Dairy ,01-12-2023,16,2654,42464,CASH,ABJ-2023-INV
ORD0808,Lagos,beans,Food,18-05-2023,3,997,2991, Cash ,LAG-2023-INV
ORD0476, kano ,sugar,FOOD,04-02-2023,4,4072,16288,TRANSFER,KAN-2023-SLS
ORD0067,kano, Beans , FOOD ,09-02-2023,11,1877,20647,POS,KAN-2023-RET
ORD0562, ABUJA , Milk , Dairy ,25-02-2023,8,3364,26912, Cash ,ABJ-2023-RET
ORD0126,LAGOS, oil , Food ,03-09-2023,11,2145,23595,TRANSFER,LAG-2023-INV
ORD0145,Lagos,SUGAR,food,04-05-2023,13,1423,18499,Transfer,LAG-2023-RET
ORD0701, abuja ,Beans,Food,27-04-2023,6,3132,18792,CASH,ABJ-2023-SLS
ORD0221,abuja,Bread, bakery ,04-08-2023,14,4776,66864,TRANSFER,ABJ-2023-INV
ORD0299, Kano ,beans,FOOD,09-04-2023,10,2563,25630,Cash,KAN-2023-INV
ORD0414,kano, oil , food ,10-03-2023,18,1194,21492, CASH ,KAN-2023-SLS
ORD0262, abuja , oil , FOOD ,15-02-2023,16,4854,77664, Cash ,ABJ-2023-INV
ORD0819,abuja,milk, Dairy ,07-03-2023,4,1454,5816,transfer,ABJ-2023-INV
ORD0475,PORT HARCOURT, RICE ,food,13-11-2023,3,4977,14931,Transfer,PHC-2023-SLS
ORD0813, lagos , BEANS ,FOOD,01-07-2023,7,2211,15477,Cash,LAG-2023-RET
ORD0694,KANO,Rice,Food,01-04-2023,12,1064,12768,CASH,KAN-2023-RET
ORD0163,port harcourt, BREAD ,bakery,31-03-2023,16,3099,49584, POS ,PHC-2023-RET
ORD0337, port harcourt , rice ,food,27-08-2023,11,1512,16632, cash ,PHC-2023-RET
ORD0358, port harcourt ,BREAD, Bakery ,25-04-2023,16,1470,23520, pos ,PHC-2023-INV
ORD0682, LAGOS ,rice,food,13-04-2023,18,4579,82422,cash,LAG-2023-RET
ORD0372,Abuja,BREAD, BAKERY ,18-04-2023,7,719,5033,TRANSFER,ABJ-2023-RET
ORD0834,lagos, rice ,Food,23-04-2023,13,1422,18486,transfer,LAG-2023-INV
ORD0216,Kano,Bread, Bakery ,19-10-2023,9,4959,44631,Cash,KAN-2023-SLS
ORD0255,kano, Rice ,food,19-10-2023,19,3775,71725,Cash,KAN-2023-RET
ORD0452, ABUJA ,BREAD,bakery,02-12-2023,10,4248,42480,Cash,ABJ-2023-RET
ORD0422, Port Harcourt , Sugar ,FOOD,16-02-2023,15,820,12300,transfer,PHC-2023-RET
ORD0403, kano , RICE , FOOD ,03-09-2023,4,728,2912,Transfer,KAN-2023-INV
ORD0579,kano, MILK ,dairy,23-09-2023,3,903,2709, CASH ,KAN-2023-SLS
ORD0183,,RICE, Food ,20-11-2023,16,3224,51584, Cash ,LAG-2023-SLS
ORD0461,abuja,beans,food,29-10-2023,17,3011,51187,transfer,ABJ-2023-INV
ORD0719,port harcourt,Milk,Dairy,03-09-2023,6,4527,27162,pos,PHC-2023-RET
ORD0728,  ,  , food ,23-11-2023,7,4939,34573, Cash ,PHC-2023-INV
ORD0874, kano , SUGAR , food ,09-05-2023,6,2516,15096, Transfer ,KAN-2023-INV
ORD0662, kano , beans ,Food,20-06-2023,16,1228,19648,TRANSFER,KAN-2023-RET
ORD0878, PORT HARCOURT , oil , FOOD ,12-08-2023,14,3724,52136,CASH,PHC-2023-INV
ORD0102,Kano, milk , DAIRY ,21-06-2023,20,1379,27580, TRANSFER ,KAN-2023-SLS
ORD0241,Lagos,bread,bakery,23-04-2023,13,3599,46787, TRANSFER ,LAG-2023-INV
ORD0640, port harcourt ,Rice,Food,15-06-2023,1,2345,2345,TRANSFER,PHC-2023-INV
ORD0647,ABUJA, sugar ,food,01-09-2023,3,1420,4260,Transfer,ABJ-2023-SLS
ORD0735, lagos ,RICE, FOOD ,14-02-2023,1,1827,1827, pos ,LAG-2023-INV
ORD0876,Lagos,MILK, dairy ,20-08-2023,2,3847,7694, cash ,LAG-2023-INV
ORD0674,Kano,Oil, food ,16-12-2023,4,3359,13436,CASH,KAN-2023-RET
ORD0119, port harcourt , milk , DAIRY ,03-06-2023,8,2350,18800,POS,PHC-2023-INV
ORD0018, Abuja ,Oil, Food ,08-12-2023,7,2544,17808,cash,ABJ-2023-SLS
ORD0755, kano , milk , dairy ,15-09-2023,14,1867,26138, TRANSFER ,KAN-2023-INV
ORD0245,ABUJA, oil ,FOOD,12-04-2023,16,2947,47152, TRANSFER ,ABJ-2023-INV
ORD0522, KANO ,RICE,Food,19-12-2023,9,3197,28773, pos ,KAN-2023-SLS
ORD0847,lagos,bread, bakery ,29-09-2023,8,3312,26496,pos,LAG-2023-RET
ORD0576, Port Harcourt ,sugar, FOOD ,06-10-2023,13,3425,44525,transfer,PHC-2023-SLS
ORD0039, PORT HARCOURT , rice ,FOOD,28-11-2023,18,2341,42138,Cash,PHC-2023-SLS
ORD0516, Kano , Oil ,Food,07-11-2023,20,1381,27620, transfer ,KAN-2023-SLS
ORD0295,kano, OIL ,food,06-11-2023,1,1413,1413,cash,KAN-2023-RET
ORD0123, Lagos , SUGAR , food ,12-06-2023,5,3691,18455,TRANSFER,LAG-2023-INV
ORD0057,Lagos, BEANS , FOOD ,31-03-2023,18,2553,45954, CASH ,LAG-2023-RET
ORD0242,, MILK ,DAIRY,25-12-2023,15,2729,40935, pos ,PHC-2023-SLS
ORD0745, PORT HARCOURT ,BEANS, Food ,06-01-2023,2,990,1980, CASH ,PHC-2023-SLS
ORD0599, kano ,,food,20-11-2023,17,4183,71111,POS,KAN-2023-INV
ORD0673,Lagos, MILK , dairy ,19-02-2023,7,3328,23296,POS,LAG-2023-INV
ORD0304,kano, Bread , BAKERY ,11-10-2023,7,1946,13622,CASH,KAN-2023-SLS
ORD0716, Abuja , BEANS , Food ,04-01-2023,8,4526,36208,transfer,ABJ-2023-RET
ORD0292, Lagos , Bread ,Bakery,30-07-2023,17,2705,45985, pos ,LAG-2023-RET
ORD0589,PORT HARCOURT, MILK ,DAIRY,16-11-2023,10,3508,35080,TRANSFER,PHC-2023-SLS
ORD0570, Port Harcourt ,, food ,13-06-2023,11,3646,40106, CASH ,PHC-2023-INV
ORD0659,Port Harcourt,milk,Dairy,07-11-2023,20,3578,71560,pos,PHC-2023-RET
ORD0525, lagos , SUGAR , FOOD ,23-05-2023,7,1062,7434, TRANSFER ,LAG-2023-INV
ORD0564,Abuja, bread ,Bakery,29-11-2023,5,3621,18105, cash ,ABJ-2023-INV
ORD0133,KANO, milk ,dairy,11-12-2023,19,1194,22686,Cash,KAN-2023-SLS
ORD0171,Port Harcourt,beans, food ,09-04-2023,6,2235,13410, cash ,PHC-2023-INV
ORD0394,abuja,oil, food ,03-02-2023,15,3834,57510,TRANSFER,ABJ-2023-INV
ORD0466,,Milk,Dairy,03-06-2023,4,2876,11504, transfer ,LAG-2023-SLS
ORD0426,,Bread, Bakery ,14-08-2023,9,1757,15813, transfer ,ABJ-2023-INV
ORD0217,LAGOS, Sugar ,food,09-02-2023,6,2384,14304,pos,LAG-2023-RET
ORD0132,abuja, milk , DAIRY ,06-04-2023,4,4898,19592,transfer,ABJ-2023-SLS
ORD0667,Lagos, Rice ,food,02-10-2023,17,4397,74749,transfer,LAG-2023-INV
ORD0582, abuja , oil , food ,14-04-2023,9,4259,38331,Cash,ABJ-2023-SLS
ORD0179, ABUJA ,Oil,Food,22-05-2023,9,3163,28467,Transfer,ABJ-2023-RET
ORD0796,lagos, Rice ,food,05-10-2023,16,2769,44304,CASH,LAG-2023-RET
ORD0409,  , sugar , Food ,16-04-2023,11,3579,39369, transfer ,LAG-2023-INV
ORD0715,lagos, sugar ,FOOD,23-04-2023,2,845,1690, cash ,LAG-2023-INV
ORD0591, Port Harcourt , bread , bakery ,04-06-2023,16,3179,50864, pos ,PHC-2023-INV
ORD0851,port harcourt,Milk,Dairy,02-09-2023,2,1578,3156,Cash,PHC-2023-SLS
ORD0161, Kano , milk , DAIRY ,18-10-2023,1,3380,3380,pos,KAN-2023-INV
ORD0749, Lagos , sugar , Food ,13-01-2023,20,4347,86940, POS ,LAG-2023-RET
ORD0707, LAGOS , milk ,DAIRY,11-07-2023,10,3294,32940,POS,LAG-2023-INV
ORD0086, lagos ,oil, FOOD ,04-03-2023,17,2336,39712, cash ,LAG-2023-INV
ORD0176, abuja ,bread, BAKERY ,10-07-2023,1,2481,2481,TRANSFER,ABJ-2023-RET
ORD0102,Kano, milk , DAIRY ,21-06-2023,20,1379,27580, TRANSFER ,KAN-2023-SLS
ORD0612, Abuja ,sugar,FOOD,20-10-2023,4,2069,8276,TRANSFER,ABJ-2023-SLS
ORD0031, port harcourt ,  ,BAKERY,17-09-2023,12,1064,12768,POS,PHC-2023-SLS
ORD0150,Lagos, rice , food ,16-07-2023,16,3481,55696,cash,LAG-2023-INV
ORD0815,port harcourt, OIL , food ,25-08-2023,13,1280,16640,pos,PHC-2023-SLS
ORD0503,Abuja, Milk , Dairy ,09-02-2023,20,2126,42520,POS,ABJ-2023-RET
ORD0154, kano , SUGAR ,food,20-08-2023,11,3105,34155, TRANSFER ,KAN-2023-INV
ORD0200,LAGOS,RICE,food,17-05-2023,2,2137,4274, cash ,LAG-2023-SLS
ORD0626,  , BREAD ,Bakery,04-09-2023,6,4802,28812,cash,PHC-2023-SLS
ORD0041, port harcourt ,oil, Food ,22-11-2023,6,4070,24420, TRANSFER ,PHC-2023-INV
ORD0444, lagos , Rice , Food ,21-11-2023,11,636,6996, Transfer ,LAG-2023-INV
ORD0637, Kano , sugar , food ,14-06-2023,7,2008,14056,TRANSFER,KAN-2023-INV
ORD0802, abuja , MILK , Dairy ,07-02-2023,20,4953,99060,cash,ABJ-2023-RET
ORD0037,port harcourt,MILK,DAIRY,25-09-2023,20,2348,46960, transfer ,PHC-2023-SLS
ORD0236, LAGOS ,Beans,food,20-11-2023,11,3955,43505,POS,LAG-2023-RET
ORD0248,lagos, Rice , food ,19-08-2023,17,1769,30073, Transfer ,LAG-2023-SLS
ORD0624,KANO, rice , Food ,16-10-2023,8,3538,28304, TRANSFER ,KAN-2023-RET
ORD0842,abuja,bread,BAKERY,02-07-2023,15,1250,18750,cash,ABJ-2023-INV
ORD0222,ABUJA,  , food ,29-07-2023,20,4954,99080, transfer ,ABJ-2023-INV
ORD0622,port harcourt,bread,bakery,24-07-2023,2,3476,6952, POS ,PHC-2023-RET
ORD0215,LAGOS, Bread , Bakery ,21-01-2023,16,3439,55024,cash,LAG-2023-SLS
ORD0144,Kano, Beans ,food,27-11-2023,8,2768,22144, CASH ,KAN-2023-INV
ORD0181,Lagos, oil ,food,07-03-2023,4,4356,17424, pos ,LAG-2023-SLS
ORD0175,, rice , Food ,26-07-2023,10,4651,46510,cash,LAG-2023-RET
ORD0361, lagos , OIL ,Food,10-09-2023,6,4626,27756,transfer,LAG-2023-SLS
ORD0011, abuja ,rice,food,25-02-2023,13,3279,42627,Cash,ABJ-2023-INV
ORD0606, LAGOS , rice , food ,11-08-2023,7,2973,20811,cash,LAG-2023-SLS
ORD0538,KANO, beans , Food ,11-07-2023,19,4695,89205, CASH ,KAN-2023-RET
ORD0152, Lagos ,Beans,FOOD,13-01-2023,1,3859,3859, CASH ,LAG-2023-RET
ORD0158, LAGOS , RICE ,food,28-11-2023,20,2513,50260,Transfer,LAG-2023-SLS
ORD0558, abuja ,Rice, FOOD ,14-12-2023,18,3679,66222, Transfer ,ABJ-2023-RET
ORD0207, KANO , Rice ,FOOD,28-01-2023,3,1100,3300,Cash,KAN-2023-SLS
ORD0083, PORT HARCOURT ,oil, FOOD ,16-01-2023,17,1810,30770, cash ,PHC-2023-RET
ORD0532, port harcourt ,rice, Food ,04-07-2023,8,4028,32224, cash ,PHC-2023-RET
ORD0115,  ,sugar, FOOD ,13-06-2023,4,4346,17384,CASH,PHC-2023-SLS
ORD0855, PORT HARCOURT ,beans,Food,05-08-2023,16,2319,37104,TRANSFER,PHC-2023-RET
ORD0672, kano ,rice,Food,13-10-2023,20,998,19960,CASH,KAN-2023-RET
ORD0287, port harcourt , Rice , Food ,16-06-2023,19,4292,81548,POS,PHC-2023-INV
ORD0362,KANO, Milk , DAIRY ,26-03-2023,11,4069,44759, TRANSFER ,KAN-2023-RET
ORD0712,LAGOS, bread ,bakery,26-05-2023,20,4213,84260, cash ,LAG-2023-RET
ORD0077,  , Bread , bakery ,18-08-2023,5,4342,21710,POS,PHC-2023-INV
ORD0260,ABUJA,oil,Food,19-08-2023,4,2999,11996,Transfer,ABJ-2023-INV
ORD0468,LAGOS, sugar ,food,03-06-2023,13,3566,46358, transfer ,LAG-2023-SLS
ORD0124,kano, sugar , FOOD ,31-07-2023,1,2890,2890, TRANSFER ,KAN-2023-INV
ORD0004,abuja, Milk , DAIRY ,06-05-2023,6,4875,29250, CASH ,ABJ-2023-SLS
ORD0305, Lagos ,sugar,food,04-10-2023,13,1016,13208,POS,LAG-2023-SLS
ORD0374,port harcourt, milk ,dairy,29-04-2023,19,4496,85424, POS ,PHC-2023-INV
ORD0314, LAGOS , Oil , food ,23-11-2023,20,1784,35680, POS ,LAG-2023-INV
ORD0339, lagos , Oil , Food ,04-03-2023,7,3811,26677,cash,LAG-2023-SLS
ORD0401,Abuja,  ,BAKERY,15-12-2023,18,2571,46278, pos ,ABJ-2023-SLS
ORD0172, Port Harcourt ,RICE,Food,03-08-2023,20,4780,95600,cash,PHC-2023-SLS
ORD0521,Abuja,beans,FOOD,19-12-2023,4,3144,12576, POS ,ABJ-2023-SLS
ORD0616, KANO , MILK ,DAIRY,12-07-2023,16,2422,38752,POS,KAN-2023-INV
ORD0857, abuja , rice ,Food,01-08-2023,17,2504,42568,transfer,ABJ-2023-SLS
ORD0368,port harcourt,Bread, bakery ,11-09-2023,8,1770,14160,pos,PHC-2023-RET
ORD0006, Lagos ,Bread,BAKERY,17-07-2023,14,1020,14280, TRANSFER ,LAG-2023-RET
ORD0204,abuja, Oil ,food,06-12-2023,8,2247,17976,Transfer,ABJ-2023-SLS
ORD0020, PORT HARCOURT , Bread , bakery ,15-01-2023,18,3212,57816,cash,PHC-2023-SLS
ORD0113, KANO , beans ,food,19-08-2023,11,1147,12617, TRANSFER ,KAN-2023-INV
ORD0098,Port Harcourt,beans, Food ,13-10-2023,8,2785,22280,transfer,PHC-2023-INV
ORD0211,lagos, rice , FOOD ,10-04-2023,10,1071,10710,TRANSFER,LAG-2023-SLS
ORD0191,lagos, Rice , food ,19-10-2023,14,4454,62356, POS ,LAG-2023-SLS
ORD0085,PORT HARCOURT, beans ,FOOD,07-02-2023,4,1611,6444,Transfer,PHC-2023-INV
ORD0573, Kano , Rice ,FOOD,17-06-2023,8,1109,8872,cash,KAN-2023-RET
ORD0621,ABUJA,RICE, food ,24-09-2023,2,3828,7656, Transfer ,ABJ-2023-SLS
ORD0205,kano,sugar,FOOD,12-05-2023,4,3661,14644,pos,KAN-2023-RET
ORD0655,lagos, BEANS ,food,27-11-2023,13,1806,23478, TRANSFER ,LAG-2023-SLS
ORD0104, KANO ,oil, food ,14-05-2023,19,593,11267,pos,KAN-2023-SLS
ORD0480, abuja ,milk, dairy ,19-12-2023,19,1371,26049, transfer ,ABJ-2023-RET
ORD0690, Lagos ,sugar,FOOD,20-05-2023,19,1911,36309,POS,LAG-2023-RET
ORD0005,kano, beans , food ,26-11-2023,16,3741,59856, TRANSFER ,KAN-2023-INV
ORD0332,Kano,Oil,Food,24-06-2023,16,3875,62000, Cash ,KAN-2023-INV
